uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,mood
spotify:track:0ErpHxNt1kTyCQGlh43wr1,0.413,0.605,0.492,0.7,8,0.00013,0.0996,-7.001,0.0437,110.741,253165,happy
spotify:track:5HUynLdprJzINndFXcidfu,0.312,0.494,0.696,0.77,1,0,0.0503,-5.774,0.0556,128.053,192467,happy
spotify:track:1QCuVVP4KWHCjRGWTVT9mz,0.00941,0.962,0.694,0.872,10,1.68E-05,0.0719,-3.799,0.0297,113.978,251000,happy
spotify:track:2MLOncjh8xeA06oP7ELsRi,0.282,0.852,0.735,0.797,4,6.85E-06,0.125,-5.27,0.028,102.964,205120,happy
spotify:track:7fKF4HdftIEt3lLAy3rDG6,0.673,0.377,0.648,0.564,5,0,0.115,-10.269,0.0682,92.958,215238,happy
spotify:track:0iWUW8UNkmyUa8Aa6anow6,0.61,0.717,0.509,0.515,5,5.76E-05,0.0966,-9.442,0.0316,80.089,231760,happy
spotify:track:588zNOzyZ0NbK8kMwYv5lO,0.647,0.135,0.521,0.22,9,0.00814,0.179,-10.202,0.0314,104.03,210507,happy
spotify:track:3HdcqQpq7zb5GbEKBDY34p,0.0355,0.945,0.593,0.926,6,0.0582,0.311,-5.361,0.0319,100.011,184347,happy
spotify:track:3bAgQ4fNuTVf98RtiVgKRv,0.00914,0.717,0.618,0.916,6,0.00023,0.204,-4.685,0.0651,123.969,250787,happy
spotify:track:3qhobDAfBcVoOWZP8Ck8R2,0.613,0.566,0.664,0.573,5,0.000363,0.0857,-6.519,0.0277,76.023,160097,happy
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,0.431,0.51,0.484,0.731,1,0,0.151,-6.694,0.0379,101.654,204280,happy
spotify:track:2JSFoukATm26pxNGLfhAWe,0.438,0.5,0.764,0.541,7,0.0011,0.0707,-7.496,0.109,172.124,204000,happy
spotify:track:6m2cCJT4K54P5nLfRLyJud,0.746,0.337,0.538,0.626,8,0.000383,0.198,-10.333,0.0426,120.971,207069,happy
spotify:track:6XMYnm4OTEysN8blzqiCL9,0.331,0.779,0.787,0.689,11,0,0.114,-5.617,0.319,90.528,212347,happy
spotify:track:6vyVxWBHLIqNdhy4IGz1LN,0.0237,0.694,0.52,0.883,1,0.249,0.205,-6.224,0.0316,96.499,166440,happy
spotify:track:1a01Toe3uKNRhqLmW9x3Ar,0.861,0.752,0.593,0.374,4,0.134,0.255,-11.424,0.0672,138.592,207187,happy
spotify:track:49YNXgHWiNSxz2wGtXCVZ7,0.0133,0.395,0.229,0.871,6,2.18E-06,0.266,-4.558,0.103,86.965,215653,happy
